Disciplina;;Codigo;;Natureza;;Tempo;;Prerequisito;;Corequisito;;Presencial;;HorasSemestrais;;PD;;LB;;CP;;ES;;OR;;Semanal;;Ementa;;BibliografiaBasica;;BibliografiaCompementar
Desenho Técnico I;;CD029;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;30;;30;;00;;00;;00;;04 h;;Instrumentos de desenho. Construções geométricas fundamentais. NormasTécnicas da ABNT. Vistas ortográficas principais e auxiliares. Vistas seccionais.Cotagem e escalas. Representação de sólidos em perspectivaaxométrica.Croquis. Noções básicas de CAD.;;<nada>;;<nada>
Estatística II;;CE003;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Estatística. Representação Tabular e Gráfica. Distribuições de Freqüências.Elementos de Probabilidade. Distribuições Discretas de Probabilidades.Distribuições Contínuas de Probabilidades. Noções de Amostragem. Estimativade Parâmetros. Teoria das Pequenas Amostras. Testes de Hipóteses. Análise deVariância. Ajustamento de Curvas. Regressão e Correlação. Séries Temporais.Controle Estatístico de Qualidade.;;<nada>;;<nada>
Física I;;CF059;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Vetores. Movimento em uma dimensão. Movimento em um plano. Dinâmica dapartícula. Trabalho e energia. Conservação da energia. Sistemas de partículas.Colisões. Cinemática da rotação. Dinâmica da rotação.;;<nada>;;<nada>
Física II;;CF060;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Oscilações. Gravitação. Estática dos fluidos. Dinâmica dos fluidos. Ondas emmeios elásticos. Ondas sonoras. Temperatura. Calor e a Primeira Lei daTermodinâmica. Teoria cinética dos gases. Entropia e a Segunda Lei daTermodinâmica.;;<nada>;;<nada>
Física IV;;CF062;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;00 h;;00;;00;;00;;00;;00;;00 h;;Ótica Geométrica. Ótica Física. Teoria da Relatividade. Mecânica Quântica.Condutividade em sólidos. Física Nuclear.;;<nada>;;<nada>
Física Experimental I;;CF063;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;30 h;;30;;00;;00;;00;;00;;02 h;;Ótica Geométrica. Ótica Física. Teoria da Relatividade. Mecânica Quântica.Condutividade em sólidos. Física Nuclear.;;<nada>;;<nada>
Física Experimental II;;CF064;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;30 h;;30;;00;;00;;00;;00;;02 h;;Instrumentos de medidas elétricas. Experiências de Eletrostática,Eletromagnetismo, Ótica, Mecânica Quântica e Relativística.;;<nada>;;<nada>
Métodos Numéricos;;CI202;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;30;;30;;00;;00;;00;;04 h;;Representação de Números Reais e Erros. Zero de Equações Polinomiais eTranscendentes. Sistemas de Equações Lineares e Algébrica. Interpolação.Integração Numérica. Revisão da Disciplina.;;<nada>;;<nada>
Programação de Computadores;;CI208;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Programação de computadores utilizando como suporte uma linguagem deprogramação de uso comum.;;<nada>;;<nada>
Álgebra Linear;;CM005;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Matrizes e equações lineares. Espaços vetoriais. Transformações lineares.Operadores e matrizes diagonalizáveis. Espaços com produto interno.Operadores sobre espaços com produto interno. Cônicas. Quádricas.;;<nada>;;<nada>
